$ csvcut -K 1 -c 4,6 appearances.csv | sort | uniq -c | sort -nr
   2 Marion Roe,Conservative Party (UK)
   2 Mariella Frostrup,Unknown
   2 Maria Misra,Unknown
   2 Maria Miller,Conservative Party (UK)
   2 Marcus Brigstocke,Unknown
   2 Marc Roche,Unknown
   2 Maeve Sherlock,Labour Party (UK)
   2 M&C Saatchi,Unknown
   2 Lucy Powell,Labour Co-operative
   2 Loyd Grossman,Unknown
   2 Lorna Fitzsimons,Labour Party (UK)
   2 Liz Saville Roberts,Plaid Cymru
   2 Lionel Shriver,Unknown
   2 Linda Smith (comedian),Unknown
   2 Linbert Spencer,Unknown
   2 Leo Pliatzky,Unknown
   2 Laurie Penny,Unknown
   2 Lauren Booth,Unknown
   2 Laura Perrins,Unknown
   2 Lalage Bown,Unknown
   2 Kwame Kwei-Armah,Unknown
   2 Kim Howells,Labour Party (UK)
   2 Keith Vaz,Labour Party (UK)
   2 Kay Coleman,Unknown
   2 Katie Hopkins,Unknown
   2 Kat Fletcher,Labour Party (UK)
   2 Karen Bradley,Conservative Party (UK)
   2 Kamlesh Bahl,Unknown
   2 Jürgen Maier,Unknown
   2 Justin King (businessman),Unknown
   2 Julian Critchley,Unknown
   2 Judith Donovan,Unknown
   2 Jude Kelly,Unknown
   2 Jr.,Unknown
   2 Jonathan Freedland,Unknown
   2 Jonathan Bartley,Green Party of England and Wales
   2 Jonathan Aitken,Conservative Party (UK)
   2 Jon Ashworth,Labour Co-operative
   2 John Thorn (headmaster),Unknown
   2 John Pardoe,Liberal Party (UK)
   2 John O'Dowd,Sinn Féin
   2 John Mortimer,Unknown
   2 John Monks,Labour Co-operative
   2 John Mann (British politician),Labour Party (UK)
   2 John Alderson (police officer),Unknown
   2 Joel Edwards (Evangelical Alliance),Unknown
   2 Joel Barnett,Labour Party (UK)
   2 Joe Haines (journalist),Unknown
   2 Jock Bruce-Gardyne,Conservative Party (UK)
   2 Jo-Anne Nadler,Unknown
   2 Jimmy Wales,Unknown
   2 Jim Murphy,Labour Party (UK)
   2 Jim Knight,Labour Co-operative
   2 Jess Phillips,Labour Party (UK)
   2 Jerry Springer,Democratic Party (United States)
   2 Jeremy Clarkson,Unknown
   2 Jeremy Bullmore,Unknown
   2 Jean Millar,Unknown
   2 Jean Denton,Unknown
   2 Janice Lennon,Unknown
   2 Janice Atkinson,Independent (politics)
   2 Janey Buchan,Unknown
   2 Janet Fookes,Conservative Party (UK)
   2 Jan Hall,Unknown
   2 James Cleverly,Conservative Party (UK)
   2 James Anderton,Unknown
   2 Ivan Massow,Unknown
   2 Isobel Lindsay,Unknown
   2 Irvine Welsh,Unknown
   2 Ian McCartney,Labour Party (UK)
   2 Ian Lavery,Labour Party (UK)
   2 Ian Blackford,Scottish National Party
   2 Ian Aitken (journalist),Unknown
   2 Henry McLeish,Labour Party (UK)
   2 Heather Rabbatts,Unknown
   2 Harry Enfield,Unknown
   2 Hamza Yusuf,Unknown
   2 Griff Rhys Jones,Unknown
   2 Graham Leonard,Unknown
   2 Gloria De Piero,Labour Party (UK)
   2 Glen Smyth,Unknown
   2 Gerry Kelly,Sinn Féin
   2 George the Poet,Unknown
   2 George Wright,Unknown
   2 Geoffrey Pattie,Conservative Party (UK)
   2 Geoff Norcott,Unknown
   2 Frederic Raphael,Unknown
   2 Francis Wheen,Unknown
   2 Frances Edmonds,Unknown
   2 Fern Britton,Unknown
   2 Faiza Shaheen,Unknown
   2 Eric Varley,Labour Party (UK)
   2 Elizabeth Sidney,Unknown
   2 Elizabeth Rees-Williams,Unknown
   2 Eldon Griffiths,Conservative Party (UK)
   2 Ed Vaizey,Conservative Party (UK)
   2 Ed Koch,Democratic Party (United States)
   2 Duncan Bannatyne,Unknown
   2 Dreda Say Mitchell,Unknown
   2 Douglas Hogg,Conservative Party (UK)
   2 Dominic Grieve,Conservative Party (UK)
   2 Des Browne,Labour Party (UK)
   2 Derek Worlock,Unknown
   2 Derek Hatton,Labour Party (UK)
   2 Decca Aitkenhead,Unknown
   2 Deborah Meaden,Unknown
   2 David Mundell,Unknown
   2 David McLetchie,Scottish Conservatives
   2 David Marquand,Plaid Cymru
   2 David Jenkins (bishop),Unknown
   2 David Heathcoat-Amory,Conservative Party (UK)
   2 David Frum,Unknown
   2 David Evans (British politician),Unknown
   2 Darcus Howe,Unknown
   2 Dafydd Elis-Thomas,Independent politician
   2 Conrad Black,Unknown
   2 Colleen Graffy,Unknown
   2 Clive Sinclair,Unknown
   2 Clive Lewis (politician),Labour Party (UK)
   2 Clive Jenkins,Unknown
   2 Clement Freud,Liberal Party (UK)
   2 Clarke Carlisle,Unknown
   2 Claire Rayner,Unknown
   2 Christopher Mayhew,Unknown
   2 Christopher Haskins,Unknown
   2 Christine Blower,Unknown
   2 Chris Woodhead,Unknown
   2 Chris Mullin (politician),Labour Party (UK)
   2 Chris Leslie,Labour Party (UK)
   2 Charlotte Church,Unknown
   2 Cathy Jamieson,Scottish Labour Party
   2 Camilla Long,Unknown
   2 Bruce Kent,Unknown
   2 Bronwen Maddox,Unknown
   2 Bridget Rosewell,Unknown
   2 Brian Wolfson,Unknown
   2 Brian Sewell,Unknown
   2 Brian Eno,Unknown
   2 Bonnie Angelo,Unknown
   2 Benazir Bhutto,Pakistan Peoples Party
   2 Ben Elton,Unknown
   2 Bel Mooney,Unknown
   2 Barry Norman,Unknown
   2 Barbara Switzer,Unknown
   2 Barbara Amiel,Unknown
   2 Ayesha Hazarika,Unknown
   2 Archie Norman,Conservative Party (UK)
   2 Antony Worrall Thompson,Unknown
   2 Anthony Horowitz,Unknown
   2 Anne Robinson,Unknown
   2 Anne Minto,Unknown
   2 Anna Coote,Unknown
   2 Andrew Smith (British politician),Labour Party (UK)
   2 Andrew Rawnsley,Unknown
   2 Andrew Pierce,Unknown
   2 Andrew Mitchell,Conservative Party (UK)
   2 Amol Rajan,Unknown
   2 Amalgamated Engineering and Electrical Union,Unknown
   2 Alistair Graham,Unknown
   2 Alan Watkins,Unknown
   2 Alain de Botton,Unknown
   2 Aditya Chakrabortty,Unknown
   2 Adam Afriyie,Conservative Party (UK)
   2 A. A. Gill,Unknown
   2 "William Wallace, Baron Wallace of Saltaire",Liberal Democrats (UK)
   2 "Tom Sawyer, Baron Sawyer",Labour Party (UK)
   2 "Susan Cunliffe-Lister, Baroness Masham of Ilton",Unknown
   2 "Sheila Noakes, Baroness Noakes",Unknown
   2 "Sarah Ludford, Baroness Ludford",Liberal Democrats (UK)
   2 "Roger Freeman, Baron Freeman",Conservative Party (UK)
   2 "Mary Warnock, Baroness Warnock",Unknown
   2 "Margaret Sharp, Baroness Sharp of Guildford",Liberal Democrats (UK)
   2 "Karan Bilimoria, Baron Bilimoria",Unknown
   2 "Jenny Jones, Baroness Jones of Moulsecoomb",Green Party of England and Wales
   2 "Jean Barker, Baroness Trumpington",Conservative Party (UK)
   2 "Janet Neel Cohen, Baroness Cohen of Pimlico",Unknown
   2 "Helene Hayman, Baroness Hayman",Crossbencher
   2 "Harold Lever, Baron Lever of Manchester",Labour Party (UK)
   2 "Elspeth Howe, Baroness Howe of Idlicote",Unknown
   2 "Diana Warwick, Baroness Warwick of Undercliffe",Unknown
   2 "Bob Maclennan, Baron Maclennan of Rogart",Labour Party (UK)
   2 "Bill Jordan, Baron Jordan",Unknown
   2 "Bernard Hogan-Howe, Baron Hogan-Howe",Unknown
   2 "Alun Gwynne Jones, Baron Chalfont",Unknown
   1 Zerbanoo Gifford,Unknown
   1 Yvonne Thompson,Unknown
   1 Yvette Roudy,Unknown
   1 Yve Newbold,Unknown
   1 Woodrow Wyatt,Unknown
   1 Winston Churchill (1940–2010),Conservative Party (UK)
   1 William Atkinson (teacher),Unknown
   1 Wendy Mantle,Unknown
   1 Wendy Hogg,Unknown
   1 Wendy Alexander,Labour Party (UK)
   1 Walter Goldsmith,Unknown
   1 Vivienne Parry,Unknown
   1 Vin Weber,Republican Party (United States)
   1 Victoria Toensing,Unknown
   1 Victoria Barnsley,Unknown
   1 Vicky Pryce,Unknown
   1 Vernon Coaker,Labour Party (UK)
   1 Vera Baird,Labour Party (UK)
   1 Vanessa Feltz,Unknown
   1 Valerie Wise,Unknown
   1 Una Kroll,Unknown
   1 Trisha Goddard,Unknown
   1 Tracey Emin,Unknown
   1 Tony Wilson,Unknown
   1 Tony Parsons (British journalist),Unknown
   1 Tommy Sheppard,Labour Party (UK)
   1 Tom Tugendhat,Conservative Party (UK)
   1 Tom Hunter,Unknown
   1 Tom Conti,Unknown
   1 Tobias Ellwood,Conservative Party (UK)
   1 Tina Knight,Unknown
   1 Tim Waterstone,Unknown
   1 Tim Spicer,Unknown
   1 Tim Eggar,Conservative Party (UK)
   1 Tim Collins (British Army officer),Unknown
   1 Tim Campbell (businessman),Unknown
   1 Thomas Jackson (trade unionist),Unknown
   1 The Tim Parry Johnathan Ball Foundation for Peace,Unknown
   1 Tessa Keswick,Unknown
   1 Terry Waite,Unknown
   1 Terry Smith (businessman),Unknown
   1 Terry Pratchett,Unknown
   1 Terry Christian,Unknown
   1 Terence Conran,Unknown
   1 Terence Beckett,Unknown
   1 Tavish Scott,Scottish Liberal Democrats
   1 Tamara Ingram,Unknown
   1 Tam Dalyell,Labour Party (UK)
   1 Suzanne Moore,Unknown
   1 Suzanne Lowry,Unknown
   1 Suzanne Burlton,Unknown
   1 Suzanna Taverne,Unknown
   1 Sue Townsend,Unknown
   1 Sue Arnold,Unknown
   1 Stig Abell,Unknown
   1 Stewart McDonald (politician),Scottish National Party
   1 Stewart Hosie,Scottish National Party
   1 Steve Richards,Unknown
   1 Steve Hilton,Unknown
   1 Steve Easterbrook,Unknown
   1 Steve Cram,Unknown
   1 Stephen Tumim,Unknown
   1 Stephen Lowe (bishop of Hulme),Unknown
   1 Stephen Kinnock,Labour Party (UK)
   1 Stephen Green,Unknown
   1 Stephen Gethins,Scottish National Party
   1 Stephen Fry,Unknown
   1 Stephen Byers,Unknown
   1 Stanley Booth-Clibborn,Unknown
   1 Sophie Mirabella,Liberal Party of Australia
   1 Siân Berry,Green Party of England and Wales
   1 Simon Woodroffe,Unknown
   1 Simon Sebag Montefiore,Unknown
   1 Simon JenkinsMichael Howard,Unknown
   1 Simon Hornby,Unknown
   1 Simon Hart,Conservative Party (UK)
   1 Simon Hamilton,Democratic Unionist Party
   1 Simon Fanshawe,Unknown
   1 Simon Evans,Unknown
   1 Simon Callow,Unknown
   1 Simon Burns,Conservative Party (UK)
   1 Sidney Blumenthal,Democratic Party (United States)
   1 Shirley Conran,Unknown
   1 Sherard Cowper-Coles,Unknown
   1 Shelagh Diplock,Unknown
   1 Sheila Rothwell,Unknown
   1 Sheila Roberts,Unknown
   1 Sheila Lawlor,Unknown
   1 Sharron Davies,Unknown
   1 Shaks Ghosh,Unknown
   1 Shailesh Vara,Conservative Party (UK)
   1 Shahid Malik,Labour Party (UK)
   1 Shabana Mahmood,Labour Party (UK)
   1 Sebastian Coe,Conservative Party (UK)
   1 Seamus Mallon,Social Democratic and Labour Party
   1 Scott Hastings (rugby union),Unknown
   1 Sarfraz Manzoor,Unknown
   1 Sarah Harrison (novelist),Unknown
   1 Sarah Baxter,Unknown
   1 Sara Khan (activist),Unknown
   1 Sandy Millar,Unknown
   1 Sandra Howard,Unknown
   1 Sammy Wilson (politician),Democratic Unionist Party
   1 Sally Bercow,Unknown
   1 Saira Khan,Unknown
   1 Ruth Turner (political advisor),Unknown
   1 Ruth Mackenzie,Unknown
   1 Ruth Levitt,Unknown
   1 Russell Profitt,Unknown
   1 Russell Kane,Unknown
   1 Rushanara Ali,Labour Party (UK)
   1 Roy Yorke Calne,Unknown
   1 Roy Shaw (arts administrator),Unknown
   1 Roy Close,Unknown
   1 Rowan Pelling,Unknown
   1 Rosie Millard,Unknown
   1 Rosemary Righter,Unknown
   1 Ronald Dworkin,Unknown
   1 Romesh Ranganathan,Unknown
   1 Roma Agrawal,Unknown
   1 Roland Rudd,Unknown
   1 Roger Poole,Unknown
   1 Roger Gale,Conservative Party (UK)
   1 Rodney Klevan,Unknown
   1 Rod Hackney,Unknown
   1 Rod Eddington,Unknown
   1 Rocco Forte,Unknown
   1 Robin Page (journalist),Unknown
   1 Robin McCartney,Unknown
   1 Robin Day,Unknown
   1 Robert Swan,Unknown
   1 Robert McKenzie (psephologist),Unknown
   1 Robert Key (politician),Conservative Party (UK)
   1 Robert Horton (businessman),Unknown
   1 Robert Ayling,Unknown
   1 Rob Delaney,Unknown
   1 Ricky Ross (musician),Unknown
   1 Rick Stein,Unknown
   1 Richard Walker,Unknown
   1 Richard Rogers,Unknown
   1 Richard Reed,Unknown
   1 Richard Perle,Republican Party (United States)
   1 Richard Dreyfuss,Unknown
   1 Richard Coles,Unknown
   1 Richard Bacon (broadcaster),Unknown
   1 Rhun ap Iorwerth,Plaid Cymru
   1 Reginald Victor Jones,Unknown
   1 Reg Prentice,Conservative Party (UK)
   1 Rebecca Hardy,Unknown
   1 Raymond Robertson (politician),Unknown
   1 Ray Williamson,Unknown
   1 Ray Whitney (politician),Conservative Party (UK)
   1 Ray Buckton,Unknown
   1 Rana Kabbani,Unknown
   1 Rami George Khouri,Unknown
   1 Ralf Dahrendorf,Liberal Democrats (UK)
   1 Radzi Chinyanganya,Unknown
   1 Rachel Sylvester,Unknown
   1 Rachel Billington,Unknown
   1 Polly Mackenzie,Unknown
   1 Pik Botha,National Party (South Africa)
   1 Pierre-Yves Gerbeau,Unknown
   1 Philip Lader,Democratic Party (United States)
   1 Phil de Glanville,Unknown
   1 Phil Woolas,Labour Party (UK)
   1 Phil Williams (Welsh politician),Plaid Cymru
   1 Phil Hammond,Unknown
   1 Petrina Holdsworth,UK Independence Party
   1 Peter Whittle (politician),UK Independence Party
   1 Peter Timms,Unknown
   1 Peter Tapsell (British politician),Conservative Party (UK)
   1 Peter Sutherland,Fine Gael
   1 Peter Morgan,Unknown
   1 Peter Luff,Conservative Party (UK)
   1 Peter Jonas (director),Unknown
   1 Peter Hill-Norton,Unknown
   1 Peter Hennessy,Unknown
   1 Peter Hall (director),Unknown
   1 Peter Coates,Unknown
   1 Peter Bottomley,Conservative Party (UK)
   1 Peter Bazalgette,Unknown
   1 Pete Wishart,Scottish National Party
   1 Peregrine Worsthorne,Unknown
   1 Penny Mordaunt,Conservative Party (UK)
   1 Peggy Fenner,Conservative Party (UK)
   1 Pauline Green,Labour Party (UK)
   1 Paul Sykes (businessman),Unknown
   1 Paul Oestreicher,Unknown
   1 Paul Murphy (Irish politician),Solidarity–People Before Profit
   1 Paul Marshall (investor),Unknown
   1 Paul Kenny,Unknown
   1 Paul Heaton,Unknown
   1 Patti Boulaye,Unknown
   1 Patsy Calton,Liberal Democrats (UK)
   1 Patrick Moore,Unknown
   1 Patrick Meaney,Unknown
   1 Patience Purchas,Unknown
   1 Pat Doherty,Sinn Féin
   1 Pam Charlwood,Unknown
   1 Ozwald Boateng,Unknown
   1 Omid Djalili,Unknown
   1 Oliver James (psychologist),Unknown
   1 Olaf Schmid,Unknown
   1 Nyta Mann,Unknown
   1 Nuala O'Faolain,Unknown
   1 Norman Willis,Labour Party (UK)
   1 Norman Stone,Unknown
   1 Norman Pace,Unknown
   1 Norman Jay,Unknown
   1 Nish Kumar,Unknown
   1 Nina Temple,Communist Party of Great Britain
   1 Nikki King,Unknown
   1 Nigel Havers,Unknown
   1 Nigel Broackes,Unknown
   1 Nicky Harrison,Unknown
   1 Nick Scott,Unknown
   1 Nick Raynsford,Labour Party (UK)
   1 Nick Herbert,Conservative Party (UK)
   1 Nick Griffin,British National Party
   1 Nick Boles,Conservative Party (UK)
   1 Nicholas Winterton,Conservative Party (UK)
   1 Nicholas Horsley,Unknown
   1 Nicholas Goodison,Unknown
   1 Nia Griffith,Labour Party (UK)
   1 Nev Wilshire,Unknown
   1 Nesrine Malik,Unknown
   1 Nerys Evans,Plaid Cymru
   1 Neil Stewart (British politician),Unknown
   1 Neil Cameron,Unknown
   1 Ned Temko,Unknown
   1 Natalya Narochnitskaya,Unknown
   1 Natalie Wheen,Unknown
   1 Natalie Nougayrède,Unknown
   1 Natalie Haynes,Unknown
   1 Naomi Sargant,Unknown
   1 Munira Mirza,Unknown
   1 Moss Evans,Unknown
   1 Morgan Tsvangirai,Zimbabwe African National Union
   1 Monica Grady,Unknown
   1 Moira Constable,Unknown
   1 Moeletsi Mbeki,Unknown
   1 Miriam Karlin,Unknown
   1 Miranda Sawyer,Unknown
   1 Mike Thomas (politician),Labour Party (UK)
   1 Mike Hancock (British politician),Independent politician
   1 Michael White (journalist),Unknown
   1 Michael Spicer,Conservative Party (UK)
   1 Michael Russell (politician),Scottish National Party
   1 Michael R. Angus,Unknown
   1 Michael O'Leary (businessman),Unknown
   1 Michael Mander,Unknown
   1 Michael Jack,Conservative Party (UK)
   1 Michael Hirst (politician),Scottish Conservative and Unionist Party
   1 Michael Heaver,Unknown
   1 Michael Cashman,Labour Party (UK)
   1 Michael Carver,Unknown
   1 Michael Bloomberg,Democratic Party (United States)
   1 Miatta Fahnbulleh (economist),Unknown
   1 Melvyn Bragg,Unknown
   1 Melissa Kite,Unknown
   1 Max Clifford,Unknown
   1 Max Beloff,Unknown
   1 Mavis Nicholson,Unknown
   1 Matthew Wright (television presenter),Unknown
   1 Matthew Taylor (Labour politician),Unknown
   1 Matt Pollard,Unknown
   1 Mary Whitehouse,Unknown
   1 Mary Macleod,Conservative Party (UK)
   1 Mary Kaldor,Unknown
   1 Mary Bousted,Unknown
   1 Mary Baker,Unknown
   1 Martina Anderson,Sinn Féin
   1 Martin Lewis (financial journalist),Unknown
   1 Martin Jacques,Unknown
   1 Martin Amis,Unknown
   1 Marta Andreasen,Conservative Party (UK)
   1 Mark Pyper,Unknown
   1 Marjorie Thompson,Unknown
   1 Marjorie Proops,Unknown
   1 Marina Warner,Unknown
   1 Marina Lewycka,Unknown
   1 Marilyn Orcharton,Unknown
   1 Marie Staunton,Unknown
   1 Marie O'Riordan,Unknown
   1 Marie Colvin,Unknown
   1 Mariana Mazzucato,Unknown
   1 Margaret Wingfield,Unknown
   1 Margaret Shaw,Unknown
   1 Margaret Ritchie (politician),Social Democratic and Labour Party
   1 Margaret Maden,Unknown
   1 Margaret Joachim,Unknown
   1 Margaret Clay,Unknown
   1 Mandy Telford,Unknown
   1 Mandi Norwood,Unknown
   1 Malcolm McLaren,Unknown
   1 Mairead McGuinness,Unknown
   1 Magnus Linklater,Unknown
   1 Maggie Chapman,Scottish Green Party
   1 Lynn Collins,Unknown
   1 Luna Frank-Riley,Unknown
   1 Luciana Berger,Labour Co-operative
   1 Louise Haigh,Labour Party (UK)
   1 Louise Cooper,Unknown
   1 Lorraine Kelly,Unknown
   1 Long Yongtu,Unknown
   1 Loki (rapper),Unknown
   1 Liu Jianchao,Unknown
   1 Lindiwe Zulu,Unknown
   1 Lindiwe Mazibuko,Democratic Alliance (South Africa)
   1 Linda Colley,Unknown
   1 Linda Bellos,Unknown
   1 Liliana Brisby,Unknown
   1 Liliana Archibald,Unknown
   1 Lida Rodriguez-Taseff,Unknown
   1 Liam Halligan,Unknown
   1 Lesley Knox,Unknown
   1 Lesley Abdela,Unknown
   1 Leonard Downie Jr.,Unknown
   1 Leanda de Lisle,Unknown
   1 Laurence Martin,Unknown
   1 Laura Pidcock,Labour Party (UK)
   1 Laura Anne Jones,Welsh Conservative Party
   1 Lance Price,Unknown
   1 Lady Olga Maitland,Conservative Party (UK)
   1 Kurt Schmoke,Democratic Party (United States)
   1 Kristen Lippincott,Unknown
   1 Kirsty Blackman,Scottish National Party
   1 Kina Avebury,Unknown
   1 Kevin Maguire (journalist),Unknown
   1 Kerry-Anne Mendoza,Unknown
   1 Kenneth Miller,Unknown
   1 Ken Gill,Unknown
   1 Ken Cameron,Unknown
   1 Keith Hellawell,Unknown
   1 Keith Brown (Scottish politician),Scottish National Party
   1 Kaye Adams,Unknown
   1 Kay Carmichael,Unknown
   1 Katharine Whitehorn,Unknown
   1 Kate Smurthwaite,Unknown
   1 Kate Mosse,Unknown
   1 Kate Maltby,Unknown
   1 Kate Forbes,Scottish National Party
   1 Kate Barker,Unknown
   1 Kate Allen (Amnesty International),Unknown
   1 Justine Roberts,Unknown
   1 June Osborne,Unknown
   1 Julie White (businesswoman),Unknown
   1 Julie Tallon,Unknown
   1 Julie Meyer,Unknown
   1 Julie Bindel,Unknown
   1 Julian Lloyd Webber,Unknown
   1 Julian Huppert,Liberal Democrats (UK)
   1 Julian Amery,Unknown
   1 Julia Middleton,Unknown
   1 Julia Langdon,Unknown
   1 Judy McKnight,Unknown
   1 Judith Church,Labour Party (UK)
   1 Judith Chaplin,Conservative Party (UK)
   1 Judi Clements,Unknown
   1 Joyce McMillan,Unknown
   1 Josephine Hart,Unknown
   1 Jonathan Lynn,Unknown
   1 Jonathan Edwards (triple jumper),Unknown
   1 Jon Gaunt.,Unknown
   1 Jon Gaunt,Unknown
   1 Jon Cruddas,Labour Party (UK)
   1 John Whittingdale,Conservative Party (UK)
   1 John Wakeham,Conservative Party (UK)
   1 John Timpson (businessman),Unknown
   1 John Stalker,Unknown
   1 John Sessions,Unknown
   1 John Rentoul,Unknown
   1 John Rae (educator),Unknown
   1 John R. Bolton,Republican Party (United States)
   1 John Pilger,Unknown
   1 John McCririck,Unknown
   1 John Lydon,Unknown
   1 John Lloyd,Unknown
   1 John Hoskyns,Unknown
   1 John Gunnell,Labour Party (UK)
   1 John Grugeon,Unknown
   1 John Gale (theatre producer),Unknown
   1 John Fortune,Unknown
   1 John Egan (industrialist),Unknown
   1 John Dunlop (minister),Unknown
   1 John Charmley,Unknown
   1 John Cartwright (British politician),Labour Party (UK)
   1 John Butcher (British politician),Unknown
   1 John Burgh (civil servant),Unknown
   1 John Biggs-Davison,Unknown
   1 Johann Lamont,Labour Co-operative
   1 Johann Hari,Unknown
   1 Johan Eliasch,Unknown
   1 Joey Barton,Unknown
   1 Joe Gormley (trade unionist),Unknown
   1 Joe Ashton,Labour Party (UK)
   1 Jody Dunn,Unknown
   1 Joanne Harris,Unknown
   1 Joanna Foster,Unknown
   1 Joan Smith,Unknown
   1 Joan Maynard,Labour Party (UK)
   1 Joan Burnie,Unknown
   1 Joan Bakewell,Unknown
   1 Jo Richardson,Labour Party (UK)
   1 Jo Johnson,Conservative Party (UK)
   1 Jimmy Carr,Unknown
   1 Jim Mortimer,Unknown
   1 Jim Davidson,Unknown
   1 Jim Allister,Traditional Unionist Voice
   1 Jilly Cooper,Unknown
   1 Jill Knight,Conservative Party (UK)
   1 Jill Craigie,Unknown
   1 Jessica Mann,Unknown
   1 Jerry Hayes,Conservative Party (UK)
   1 Jermaine Jenas,Unknown
   1 Jeremy Isaacs,Unknown
   1 Jeremy Hanley,Conservative Party (UK)
   1 Jeremy Greenstock,Unknown
   1 Jens-Peter Bonde,Unknown
   1 Jenny Willott,Welsh Liberal Democrats
   1 Jenny Marra,Scottish Labour Party
   1 Jenny Kirkpatrick,Unknown
   1 Jennifer Robinson (lawyer),Unknown
   1 Jeff Rooker,Unknown
   1 Jeff Randall,Unknown
   1 Jeff Randall (journalist),Unknown
   1 Jeane Kirkpatrick,Socialist Party of America
   1 Jeane Freeman,Scottish National Party
   1 Jay Rayner,Unknown
   1 Jarvis Cocker,Unknown
   1 Janine di Giovanni,Unknown
   1 Janet Ryder,Plaid Cymru
   1 Janet Paraskeva,Unknown
   1 Janet Morgan,Unknown
   1 Jane Grant,Unknown
   1 Jane Fonda,Unknown
   1 Jan Ravens,Unknown
   1 Jan Halper-Hayes,Unknown
   1 Jan Berry,Unknown
   1 James Purnell,Unknown
   1 James Pickles,Unknown
   1 James O'Brien (broadcaster),Unknown
   1 James Mawdsley,Unknown
   1 James Jones (bishop),Unknown
   1 James Goldsmith,Unknown
   1 James Eberle,Unknown
   1 James Delingpole,Unknown
   1 James Cracknell,Unknown
   1 James Cooke,Unknown
   1 James Cleminson,Unknown
   1 James Callaghan,Labour Party (UK)
   1 James Caan,Unknown
   1 James Caan (entrepreneur),Unknown
   1 Jacqui Lait,Conservative Party (UK)
   1 Jacques Santer,Unknown
   1 Jacques Myard,The Republicans (France)
   1 Jackie Stewart,Unknown
   1 Jack Monroe,Unknown
   1 Jack Dromey,Labour Party (UK)
   1 Ishtiaq Ahmed (political scientist),Unknown
   1 Isabel Hilton,Unknown
   1 Isabel Hardman,Unknown
   1 Inez McCormack,Unknown
   1 Igor Yurgens,Unknown
   1 Ian Rankin,Unknown
   1 Ian Paisley,Unknown
   1 Ian Mikardo,Unknown
   1 Ian McAllister,Unknown
   1 Ian Hay Davidson,Unknown
   1 Ian Gow,Conservative Party (UK)
   1 Ian Gilmore,Unknown
   1 Ian Crowther,Unknown
   1 Ian Blair,Unknown
   1 Iain Gray,Scottish Labour Party
   1 Iain Dale,Unknown
   1 Iain Banks,Unknown
   1 Hywel Williams,Plaid Cymru
   1 Hugo Rifkind,Unknown
   1 Hugh Montefiore,Unknown
   1 Hugh Hendry,Unknown
   1 Hugh Grant,Unknown
   1 Hugh Fearnley-Whittingstall,Unknown
   1 Hugh Dykes,Unknown
   1 Hugh Clegg (industrial relations expert),Unknown
   1 Huey Morgan,Unknown
   1 Hilary Williams,Unknown
   1 Hilary Devey,Unknown
   1 Hilary Campbell,Unknown
   1 Hervé Mariton,The Republicans (France)
   1 Henry Kissinger,Republican Party (United States)
   1 Henry E. Catto,Unknown
   1 Henry Bolton (British politician),Unknown
   1 Henry Blofeld,Unknown
   1 Helen Lewis (journalist),Unknown
   1 Heather Mills,Unknown
   1 Hartley Booth,Unknown
   1 Harriet Sergeant,Unknown
   1 Harriet Crawley,Unknown
   1 Harold McCusker,Ulster Unionist Party
   1 Hannah Bardell,Scottish National Party
   1 Gyles Brandreth,Conservative Party (UK)
   1 Gwynneth Flower,Unknown
   1 Gus Macdonald,Labour Party (UK)
   1 Gurbux Singh,Unknown
   1 Gráinne Maguire,Unknown
   1 Grigory Karasin,Unknown
   1 Grayson Perry,Unknown
   1 Gordon Wilson (Scottish politician),Scottish National Party
   1 Gisela Stuart,Labour Party (UK)
   1 Gillian duCharme,Unknown
   1 Gillian Tett,Unknown
   1 Gillian Peele,Unknown
   1 Giles Radice,Labour Party (UK)
   1 Ghada Karmi,Unknown
   1 Gerry Robinson,Unknown
   1 Gerry Fitt,Social Democratic and Labour Party
   1 Gerry Adams,Sinn Féin
   1 Gerard Coyne,Unknown
   1 George Carman,Unknown
   1 George Carey,Unknown
   1 Geoffrey Robinson,Labour Party (UK)
   1 Geoffrey Robertson,Unknown
   1 Geoff Hampton,Unknown
   1 Gavin Strang,Labour Party (UK)
   1 Gary Hart,Democratic Party (United States)
   1 Garry Kasparov,Unknown
   1 Gaia Servadio,Unknown
   1 Frederick Lawton (judge),Unknown
   1 Frank Skinner,Unknown
   1 Frances Crook,Unknown
   1 Fiona Phillips,Unknown
   1 Fiona Hyslop,Scottish National Party
   1 Fiona Gilmore,Unknown
   1 Fiona Driscoll,Unknown
   1 Fay Weldon,Unknown
   1 Fabiola Arredondo,Unknown
   1 Evgeny Lebedev,Unknown
   1 Evan Harris,Liberal Democrats (UK)
   1 Eva Pascoe,Unknown
   1 Eusebius McKaiser,Unknown
   1 Eric Morley,Unknown
   1 Enid Ralphs,Unknown
   1 Emma Soames,Unknown
   1 Emma Jones (journalist),Unknown
   1 Emma Inglis,Unknown
   1 Emma Boon,Unknown
   1 Emeka Anyaoku,Unknown
   1 Ella Whelan,Unknown
   1 Elizabeth Shields,Liberal Democrats (UK)
   1 Elizabeth Meehan,Unknown
   1 Elizabeth Edwards,Unknown
   1 Elizabeth Cottrell,Unknown
   1 Elisabeth Hoodless,Unknown
   1 Elin Jones,Plaid Cymru
   1 Elaine Foster,Unknown
   1 Elaine C. Smith,Unknown
